Match,Team1,Team2
Scotland vs Oman,Scotland,Oman
Indonesia vs Sweden,Indonesia,Sweden
Indonesia vs Sweden,Indonesia,Sweden
France vs Norway,France,Norway
Portugal vs Norway,Portugal,Norway
Portugal vs France,Portugal,France
Portugal vs Norway,Portugal,Norway
France vs Norway,France,Norway
Rajasthan Royals vs Mumbai Indians,Rajasthan Royals,Mumbai Indians
Delhi Capitals vs Gujarat Titans,Delhi Capitals,Gujarat Titans
Hyderabad Kingsmen vs Peshawar Zalmi,Hyderabad Kingsmen,Peshawar Zalmi
Lahore Qalandars vs Islamabad United,Lahore Qalandars,Islamabad United
Sri Lanka A vs New Zealand A,Sri Lanka A,New Zealand A
Sri Lanka Women U19 vs Australia Women U19,Sri Lanka Women U19,Australia Women U19
Zambia Women vs Lesotho Women,Zambia Women,Lesotho Women
Mozambique Women vs Brazil Women,Mozambique Women,Brazil Women
Botswana Women vs Malawi Women,Botswana Women,Malawi Women
Brazil Women vs Zambia Women,Brazil Women,Zambia Women
Lesotho Women vs Mozambique Women,Lesotho Women,Mozambique Women
Botswana Women vs Zambia Women,Botswana Women,Zambia Women
Mozambique Women vs Malawi Women,Mozambique Women,Malawi Women
Brazil Women vs Lesotho Women,Brazil Women,Lesotho Women
Malawi Women vs Zambia Women,Malawi Women,Zambia Women
