"id","match","team1","team2"
1,"Scotland vs Oman","Scotland","Oman"
2,"Indonesia vs Sweden","Indonesia","Sweden"
3,"Indonesia vs Sweden","Indonesia","Sweden"
4,"France vs Norway","France","Norway"
5,"Portugal vs Norway","Portugal","Norway"
6,"Portugal vs France","Portugal","France"
7,"Portugal vs Norway","Portugal","Norway"
8,"France vs Norway","France","Norway"
9,"Rajasthan Royals vs Mumbai Indians","Rajasthan Royals","Mumbai Indians"
10,"Delhi Capitals vs Gujarat Titans","Delhi Capitals","Gujarat Titans"
11,"Hyderabad Kingsmen vs Peshawar Zalmi","Hyderabad Kingsmen","Peshawar Zalmi"
12,"Lahore Qalandars vs Islamabad United","Lahore Qalandars","Islamabad United"
13,"Sri Lanka A vs New Zealand A","Sri Lanka A","New Zealand A"
14,"Sri Lanka Women U19 vs Australia Women U19","Sri Lanka Women U19","Australia Women U19"
15,"Zambia Women vs Lesotho Women","Zambia Women","Lesotho Women"
16,"Mozambique Women vs Brazil Women","Mozambique Women","Brazil Women"
17,"Botswana Women vs Malawi Women","Botswana Women","Malawi Women"
18,"Brazil Women vs Zambia Women","Brazil Women","Zambia Women"
19,"Lesotho Women vs Mozambique Women","Lesotho Women","Mozambique Women"
20,"Botswana Women vs Zambia Women","Botswana Women","Zambia Women"
21,"Mozambique Women vs Malawi Women","Mozambique Women","Malawi Women"
22,"Brazil Women vs Lesotho Women","Brazil Women","Lesotho Women"
23,"Malawi Women vs Zambia Women","Malawi Women","Zambia Women"
24,"","",""
25,"India  vs Pakistan","India ","Pakistan"
